,stage,job,position,machine,start time,end time
0,0,0,0,0,0.00028602277855369003,47.82219194412923
1,0,1,14,2,60.01750531274685,106.62886695391109
2,0,2,9,2,103.58558682959283,145.47358896122466
3,0,3,10,2,232.76244532343048,272.387279827532
4,0,4,7,2,264.2678157477339,307.4256618468944
5,0,5,13,2,318.004841837486,359.6739197617918
6,0,6,4,2,446.5137317984913,493.4869120449781
7,0,7,12,1,505.4924564141924,545.7388345792974
8,0,8,4,1,536.8652321451152,579.5375895032482
9,0,9,11,1,657.3227940119901,701.4901425643606
10,0,10,0,1,689.6381438766855,738.3517242694202
11,0,11,7,1,751.6413748181805,794.7069907996239
12,0,12,11,0,876.4093107146749,916.3550405362707
13,0,13,13,0,907.0017733777976,953.5830322359988
14,0,14,8,0,957.3942110976994,1002.0513770511541
15,0,15,12,0,0.004467551747027912,39.51155633082119
16,0,16,10,0,33.703282172318104,82.43972975587346
17,0,17,2,0,73.87499041779274,123.63398708231989
18,0,18,3,0,201.9964598237073,249.33950112765956
19,0,19,8,1,248.34971337512374,296.9800366812779
20,0,20,11,2,296.0432440475579,336.3853100180286
21,0,21,13,1,406.10119532115743,452.31883979679924
22,0,22,2,1,452.4617313596334,501.0454673911853
23,0,23,0,2,489.4329861295252,535.0087611763414
24,0,24,6,1,620.4308844845293,663.0408825008673
25,0,25,9,1,675.7859194778092,713.1957363907663
26,0,26,1,2,714.6320211007205,756.7104267970735
27,0,27,3,2,831.7302277701132,876.2826453983264
28,0,28,10,1,863.2587754878507,912.0409302331813
29,0,29,1,1,909.920425081918,959.4529142307086
30,0,30,14,1,0.0007327968021375447,42.67886966854018
31,0,31,1,0,29.277083937832334,77.3914229266353
32,0,32,9,0,77.5512913221344,117.19818366762183
33,0,33,14,0,190.45910507123003,237.72949464941235
34,0,34,6,0,244.90789810850757,288.58968836220583
35,0,35,5,0,288.12252161368144,324.31910541597773
36,0,36,5,1,394.20082581496877,440.2766914246241
37,0,37,4,0,453.50239612245616,495.08592571359594
38,0,38,3,1,488.2179469667546,535.7657766468299
39,0,39,12,2,603.7543672322026,649.1085120494486
40,0,40,7,0,658.0555711150805,694.0715705854825
41,0,41,5,2,690.8684823669394,733.7785724974539
42,0,42,2,2,814.2269478075681,862.373386664467
43,0,43,6,2,858.6402928874405,898.0550451638603
44,0,44,8,2,903.7333285382653,944.2861896167287
45,1,0,14,0,51.6026399117313,99.78923716125246
46,1,1,7,2,110.41012919989129,149.08506848092475
47,1,2,11,2,149.25537100222587,193.20052137091528
48,1,3,9,2,276.169078582371,315.5097015829841
49,1,4,12,2,311.20749283962977,360.75305634369175
50,1,5,1,2,363.45629916984973,410.7008117397679
51,1,6,10,2,497.2687651958334,539.5403391959314
52,1,7,4,2,549.5205668480434,586.6468083077789
53,1,8,2,2,583.3194000898105,623.8001645552262
54,1,9,7,1,705.2717075494459,748.3828765447339
55,1,10,0,2,742.1334044346398,791.1930779738166
